,audio_time,audio_clap_score,audio_patch_similarity.env_1_attack,audio_patch_similarity.env_1_decay,audio_patch_similarity.env_1_sustain,audio_patch_similarity.env_1_release,audio_patch_similarity.env_1_velocity,audio_patch_similarity.env_1_quantize,audio_patch_similarity.env_1_curve,audio_patch_similarity.env_1_release_on,audio_patch_similarity.env_1_key_follow,audio_patch_similarity.env_2_attack,audio_patch_similarity.env_2_decay,audio_patch_similarity.env_2_sustain,audio_patch_similarity.env_2_release,audio_patch_similarity.env_2_velocity,audio_patch_similarity.env_2_quantize,audio_patch_similarity.env_2_curve,audio_patch_similarity.env_2_release_on,audio_patch_similarity.env_2_key_follow,audio_patch_similarity.env_1_model,audio_patch_similarity.env_2_model,text_time,text_clap_score,text_clap_score_real_diff,text_patch_similarity.env_1_attack,text_patch_similarity.env_1_decay,text_patch_similarity.env_1_sustain,text_patch_similarity.env_1_release,text_patch_similarity.env_1_velocity,text_patch_similarity.env_1_quantize,text_patch_similarity.env_1_curve,text_patch_similarity.env_1_release_on,text_patch_similarity.env_1_key_follow,text_patch_similarity.env_2_attack,text_patch_similarity.env_2_decay,text_patch_similarity.env_2_sustain,text_patch_similarity.env_2_release,text_patch_similarity.env_2_velocity,text_patch_similarity.env_2_quantize,text_patch_similarity.env_2_curve,text_patch_similarity.env_2_release_on,text_patch_similarity.env_2_key_follow,text_patch_similarity.env_1_model,text_patch_similarity.env_2_model
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,36.017163840000286,0.8089658617973328,0.25961774587631226,0.011408030986785889,0.07318874448537827,0.27805259823799133,0.21277675032615662,0.2800198197364807,0.2650783360004425,0.4563547670841217,0.4896969795227051,0.4495457112789154,-0.04117223992943764,0.4404427409172058,0.21044285595417023,0.05989149212837219,0.432086706161499,0.3521578907966614,0.3774115741252899,0.40232405066490173,-0.2419660985469818,-0.3638422191143036,47.2916836999997,0.593888771533966,0.2768117129802704,0.5108449757099152,0.12490684688091278,-0.13447023630142213,0.17302475571632386,0.27242566645145416,0.3678504049777985,0.05553456544876099,0.12346403300762177,0.6427450776100159,0.3110455125570297,0.2560010075569153,0.49384996891021726,0.44418746829032896,0.15222511291503907,0.275825634598732,0.3714838981628418,0.07553949281573295,0.6986383676528931,-0.40956016778945925,-0.19848182201385497
std,16.429228282197396,0.09162755310535431,0.2687283456325531,0.3558793365955353,0.5356346964836121,0.25454404950141907,0.2768670320510864,0.4333392083644867,0.578833281993866,0.39447394013404846,0.360714316368103,0.42446085810661316,0.24269789457321167,0.40277746319770813,0.3199496567249298,0.47229093313217163,0.44953277707099915,0.37649351358413696,0.4524802267551422,0.4137622117996216,0.13805480301380157,0.2011658400297165,19.448826275836808,0.07330025205029882,0.09295407977153887,0.23497197406408007,0.23629926998603118,0.5957850811887804,0.2716938579324987,0.44260024384230473,0.37076341782204714,0.8385992628127474,0.5336279850415678,0.1098491748875506,0.28777044114730627,0.1659277947521915,0.3592512049813843,0.20014086060249675,0.307959463624558,0.6341106365740157,0.5026137612015161,0.6455871679167933,0.10167181044764896,0.11509026618723767,0.08218760838481733
min,17.020941599999787,0.6306865215301514,-0.004448095336556435,-0.47527623176574707,-0.9408034682273865,-0.03939220309257507,-0.13120225071907043,-0.8199512958526611,-0.667872965335846,-0.3439265489578247,-0.022193193435668945,-0.002084076404571533,-0.4749159812927246,-0.048795998096466064,-0.4044880270957947,-0.7806598544120789,-0.52921062707901,-0.40339231491088867,-0.43557417392730713,-0.33083534240722656,-0.4714149236679077,-0.6417483687400818,18.74473640001088,0.49913644790649414,0.19853073358535767,0.1750187873840332,-0.20760998129844666,-0.8489601612091064,-0.154922217130661,-0.38862526416778564,-0.09593087434768677,-0.862934410572052,-0.805706799030304,0.4858663082122803,-0.08534078299999237,0.07570374011993408,-0.13017123937606812,0.10912561416625977,-0.25852155685424805,-0.8005177974700928,-0.4742324948310852,-0.813773512840271,0.5485802888870239,-0.5106484889984131,-0.3195418119430542
25%,21.94009347499741,0.7544051557779312,0.09250965155661106,-0.2712406665086746,-0.16946598887443542,0.040514782071113586,0.01886892318725586,0.18406905978918076,-0.11105018854141235,0.2507442720234394,0.1684609055519104,0.027748425025492907,-0.1916004829108715,0.0834557618945837,0.08837180584669113,-0.039599739015102386,0.1771082505583763,0.1733293980360031,0.07592825591564178,0.12891551852226257,-0.35056905448436737,-0.5289315581321716,42.25029589999758,0.553989827632904,0.20193547010421753,0.4460080862045288,0.008384019136428833,-0.3694775700569153,0.025693804025650024,0.041374728083610535,0.18465372920036316,-0.862934410572052,0.19429318606853485,0.5778321027755737,0.1546592116355896,0.11409780383110046,0.5398287773132324,0.42346957325935364,0.006200015544891357,0.19948221743106842,0.33504074811935425,-0.2291507124900818,0.6646972298622131,-0.44458407163619995,-0.21027731895446777
50%,36.11456460000045,0.8217167556285858,0.1584724336862564,0.08256298303604126,0.039753228425979614,0.284693107008934,0.17367012053728104,0.3965887725353241,0.4650546610355377,0.5441943854093552,0.5507808923721313,0.49215951561927795,-0.03256043791770935,0.3396236002445221,0.17791219055652618,0.15546907484531403,0.564489483833313,0.3796670585870743,0.4178131967782974,0.5284835398197174,-0.20535534620285034,-0.36623990535736084,47.04428729999927,0.5837655663490295,0.23741793632507324,0.46634718775749207,0.1533840149641037,-0.2894775867462158,0.08569380640983582,0.4610739052295685,0.3618149161338806,0.6453288793563843,0.289833664894104,0.6878321170806885,0.39866408705711365,0.24156075716018677,0.6271045207977295,0.5057035684585571,0.10491049289703369,0.6324421763420105,0.5257675051689148,0.028563614934682846,0.7085802555084229,-0.4409596920013428,-0.21027731895446777
75%,44.238020149994554,0.8677372634410858,0.3639904111623764,0.1380981206893921,0.3956371136009693,0.5207710638642311,0.2871752306818962,0.5083791166543961,0.5527713447809219,0.7158254832029343,0.7750991880893707,0.8183993250131607,0.15374385565519333,0.8071191012859344,0.3804390951991081,0.36493854969739914,0.7454725950956345,0.5811305046081543,0.6018027663230896,0.7379388213157654,-0.16767700016498566,-0.17949862778186798,57.131625499998336,0.6532476544380188,0.33608946204185486,0.6960080862045288,0.2646295428276062,0.08602714538574219,0.44647055864334106,0.5527544021606445,0.48464512825012207,0.6672022938728333,0.42720913887023926,0.7011173963546753,0.4136083126068115,0.4068213701248169,0.6527840495109558,0.5763192772865295,0.4062000513076782,0.6727718710899353,0.6843683123588562,0.6212087869644165,0.7507930994033813,-0.4409596920013428,-0.15464729070663452
max,65.9111472999939,0.9210166931152344,0.9129848480224609,0.6572831869125366,0.9583806395530701,0.5910992622375488,0.7434093356132507,0.6741503477096558,0.9892790913581848,0.9559145569801331,0.9428512454032898,0.9770877361297607,0.26976755261421204,0.9803369641304016,0.6681482195854187,0.6222149133682251,0.8657166361808777,0.958956241607666,0.9832282066345215,0.8488078117370605,-0.005780696868896484,-0.11452102661132812,71.28747339999245,0.6793043613433838,0.41008496284484863,0.7708427309989929,0.4057466387748718,0.7495369911193848,0.46218782663345337,0.6955505609512329,0.9040691256523132,0.6910104751586914,0.5116909742355347,0.7610774636268616,0.6736367344856262,0.4418213665485382,0.7797037363052368,0.6063193082809448,0.5023365616798401,0.6749497056007385,0.786475419998169,0.7708492875099182,0.8205409646034241,-0.21064889430999756,-0.09766536951065063
