,audio_time,audio_clap_score,audio_patch_similarity.env_1_attack,audio_patch_similarity.env_1_decay,audio_patch_similarity.env_1_sustain,audio_patch_similarity.env_1_release,audio_patch_similarity.env_1_velocity,audio_patch_similarity.env_1_quantize,audio_patch_similarity.env_1_curve,audio_patch_similarity.env_1_release_on,audio_patch_similarity.env_1_key_follow,audio_patch_similarity.env_2_attack,audio_patch_similarity.env_2_decay,audio_patch_similarity.env_2_sustain,audio_patch_similarity.env_2_release,audio_patch_similarity.env_2_velocity,audio_patch_similarity.env_2_quantize,audio_patch_similarity.env_2_curve,audio_patch_similarity.env_2_release_on,audio_patch_similarity.env_2_key_follow,audio_patch_similarity.env_1_model,audio_patch_similarity.env_2_model,text_time,text_clap_score,text_clap_score_real_diff,text_patch_similarity.env_1_attack,text_patch_similarity.env_1_decay,text_patch_similarity.env_1_sustain,text_patch_similarity.env_1_release,text_patch_similarity.env_1_velocity,text_patch_similarity.env_1_quantize,text_patch_similarity.env_1_curve,text_patch_similarity.env_1_release_on,text_patch_similarity.env_1_key_follow,text_patch_similarity.env_2_attack,text_patch_similarity.env_2_decay,text_patch_similarity.env_2_sustain,text_patch_similarity.env_2_release,text_patch_similarity.env_2_velocity,text_patch_similarity.env_2_quantize,text_patch_similarity.env_2_curve,text_patch_similarity.env_2_release_on,text_patch_similarity.env_2_key_follow,text_patch_similarity.env_1_model,text_patch_similarity.env_2_model
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,2.5638137800007827,0.7926139831542969,0.36372214555740356,-0.2688984274864197,-0.04359404370188713,0.37441056966781616,0.24732646346092224,0.22880809009075165,0.3875848054885864,0.1137063279747963,0.49837857484817505,-0.054032616317272186,-0.26494017243385315,0.23767153918743134,-0.07753387838602066,-0.09148688614368439,0.48287612199783325,0.2452096939086914,0.7630529403686523,0.5453886985778809,-0.4133073687553406,-0.5545204281806946,2.8733185999968556,0.6428446412086487,0.2768117129802704,0.4851365566253662,0.15481707751750945,-0.1291618227958679,0.2852188408374786,0.43689004778862,0.32650471329689024,0.20227866172790526,0.31672831773757937,0.6065712213516236,0.37663274705410005,0.13631123900413514,0.40556241273880006,0.23064481019973754,0.04493553936481476,0.3701884031295776,0.3482714772224426,0.2851102352142334,0.5660485684871673,-0.42085535526275636,-0.4439021944999695
std,0.4087195047840067,0.10366985946893692,0.3912748098373413,0.22764728963375092,0.5430530905723572,0.29131773114204407,0.23525431752204895,0.31358179450035095,0.6378448605537415,0.3420540988445282,0.3672346770763397,0.20718815922737122,0.25965893268585205,0.21631813049316406,0.30502063035964966,0.514197051525116,0.34529832005500793,0.31146904826164246,0.4297843873500824,0.3403884768486023,0.05425001308321953,0.06522566825151443,0.4582466588114932,0.07821216910404026,0.09295407977153887,0.252298695868059,0.14737407999551017,0.4376872898274817,0.11726874664846332,0.2562197256278109,0.4273216328565114,0.5260535184944924,0.4226404809440907,0.13995257564550176,0.13039615433964943,0.13418136300812072,0.3404102960363963,0.12504174305769314,0.4374091179102441,0.425887993422455,0.41806856147964827,0.5550536586390935,0.10244662748501943,0.06125404137041699,0.06269005968176337
min,2.0221151000005193,0.5985907316207886,0.00048492010682821274,-0.6132915616035461,-0.7047519683837891,-0.0289117693901062,-0.1351213902235031,-0.582993745803833,-0.6352666616439819,-0.7844375967979431,-0.028137028217315674,-0.598713219165802,-0.9578054547309875,-0.28956910967826843,-0.5805643200874329,-0.9759328365325928,-0.2191842794418335,-0.4876546263694763,-0.07750344276428223,-0.285347580909729,-0.47493910789489746,-0.6250314712524414,2.230880299990531,0.532587468624115,0.19853073358535767,0.07375887036323547,0.011640220880508423,-0.4358798861503601,0.13500654697418213,0.08054333925247192,-0.4264962673187256,-0.3934151530265808,-0.4309943914413452,0.4495929479598999,0.1689710170030594,-0.04647901654243469,-0.19636589288711548,0.05099049210548401,-0.41710591316223145,-0.37452226877212524,-0.3864462375640869,-0.36762458086013794,0.39721551537513733,-0.49618738889694214,-0.5194079875946045
25%,2.2754640000021027,0.7300991863012314,0.09363644570112228,-0.4212769418954849,-0.5324344485998154,0.09862551093101501,0.08897612616419792,0.14544924348592758,-0.022976338863372803,0.08179494738578796,0.20900499820709229,0.003786770161241293,-0.2546377293765545,0.29427239298820496,-0.2880643233656883,-0.39237020909786224,0.25236229598522186,0.14778845012187958,0.935015007853508,0.44109654426574707,-0.47493910789489746,-0.6250314712524414,2.6407065999956103,0.5972849726676941,0.20193547010421753,0.4087381660938263,0.021164655685424805,-0.42549562454223633,0.23477080464363098,0.28629690408706665,0.4083256423473358,-0.35368895530700684,0.4091230034828186,0.4577856659889221,0.32628193497657776,0.06722584366798401,0.46680712699890137,0.18245023488998413,-0.3143681287765503,0.42238157987594604,0.43380826711654663,-0.2691788673400879,0.5393063426017761,-0.47898733615875244,-0.5048997402191162
50%,2.4999898499954725,0.8000105023384094,0.10363644361495972,-0.2821992188692093,-0.031831175088882446,0.4243730753660202,0.30743737518787384,0.3720281720161438,0.6220007538795471,0.14867868274450302,0.44425737857818604,0.01653002155944705,-0.1953054666519165,0.31365978717803955,-0.05680525302886963,-0.026331016793847084,0.6726175546646118,0.25112351030111313,0.9725703597068787,0.6973707675933838,-0.39168673753738403,-0.5321898460388184,2.886210700002266,0.6577704548835754,0.23741793632507324,0.6413815021514893,0.18072646856307983,-0.40546149015426636,0.25497305393218994,0.47107288241386414,0.4850383400917053,0.564895510673523,0.4865906238555908,0.6920865178108215,0.4539240002632141,0.14050722122192383,0.5846858024597168,0.2512873113155365,0.07563185691833496,0.5277805924415588,0.47723329067230225,0.5930269956588745,0.628459095954895,-0.379677951335907,-0.4022154211997986
75%,2.7844496249999793,0.8638555705547333,0.8079210072755814,-0.12243003398180008,0.3013581112027168,0.5810193419456482,0.3182038366794586,0.40279820561408997,0.847787082195282,0.2767094671726227,0.8560984432697296,0.03344726748764515,-0.11500149592757225,0.36176295578479767,0.08010095357894897,0.2368987426161766,0.6751940250396729,0.47287367284297943,0.9730240106582642,0.7381635904312134,-0.3651100993156433,-0.5239723920822144,3.2789016000024276,0.7066446542739868,0.33608946204185486,0.6413815021514893,0.1898275762796402,0.06412005424499512,0.3665729761123657,0.6705432534217834,0.5735037326812744,0.5870170593261719,0.5499167442321777,0.7166954874992371,0.46199339628219604,0.22050723433494568,0.5863425135612488,0.2792479991912842,0.20657159388065338,0.6254777312278748,0.6032083034515381,0.7308210134506226,0.6326309442520142,-0.3747120499610901,-0.4022154211997986
max,3.249130800002604,0.9366743564605713,0.8729373216629028,0.14170843362808228,0.8181688189506531,0.7560805082321167,0.7136752605438232,0.4170062243938446,0.9814020991325378,0.4126698672771454,0.9295097589492798,0.08148480951786041,-0.08293107151985168,0.3804309070110321,0.3651635944843292,0.7132708430290222,0.7808157205581665,0.5636676549911499,0.9744518995285034,0.8193861246109009,-0.35986191034317017,-0.4663768410682678,3.3298937999934424,0.7199356555938721,0.41008496284484863,0.6604227423667908,0.37072646617889404,0.5569078326225281,0.4347708225250244,0.6759938597679138,0.5921521186828613,0.6065848469734192,0.5690056085586548,0.7166954874992371,0.4719933867454529,0.29979491233825684,0.5863425135612488,0.3892480134963989,0.6739482879638672,0.6498243808746338,0.6135537624359131,0.7385066151618958,0.6326309442520142,-0.3747120499610901,-0.39077240228652954
