,audio_time,audio_clap_score,audio_patch_similarity.env_1_attack,audio_patch_similarity.env_1_decay,audio_patch_similarity.env_1_sustain,audio_patch_similarity.env_1_release,audio_patch_similarity.env_1_velocity,audio_patch_similarity.env_1_quantize,audio_patch_similarity.env_1_curve,audio_patch_similarity.env_1_release_on,audio_patch_similarity.env_1_key_follow,audio_patch_similarity.env_2_attack,audio_patch_similarity.env_2_decay,audio_patch_similarity.env_2_sustain,audio_patch_similarity.env_2_release,audio_patch_similarity.env_2_velocity,audio_patch_similarity.env_2_quantize,audio_patch_similarity.env_2_curve,audio_patch_similarity.env_2_release_on,audio_patch_similarity.env_2_key_follow,audio_patch_similarity.env_1_model,audio_patch_similarity.env_2_model,text_time,text_clap_score,text_patch_similarity.env_1_attack,text_patch_similarity.env_1_decay,text_patch_similarity.env_1_sustain,text_patch_similarity.env_1_release,text_patch_similarity.env_1_velocity,text_patch_similarity.env_1_quantize,text_patch_similarity.env_1_curve,text_patch_similarity.env_1_release_on,text_patch_similarity.env_1_key_follow,text_patch_similarity.env_2_attack,text_patch_similarity.env_2_decay,text_patch_similarity.env_2_sustain,text_patch_similarity.env_2_release,text_patch_similarity.env_2_velocity,text_patch_similarity.env_2_quantize,text_patch_similarity.env_2_curve,text_patch_similarity.env_2_release_on,text_patch_similarity.env_2_key_follow,text_patch_similarity.env_1_model,text_patch_similarity.env_2_model
count,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0
mean,0.04966078181061637,0.8550012707710266,-0.030251003801822662,-0.00046187752741388977,-0.016256658360362053,-0.0006795043009333313,0.03430092707276344,0.013502338901162148,-0.007646674290299416,0.0051924092695117,0.014592116698622704,-0.025562476366758347,-0.023358386009931564,0.006157287396490574,0.005968269892036915,0.03529905155301094,0.007905700244009495,0.01993950456380844,-0.052396126091480255,0.026208577677607536,-0.4532509744167328,-0.46239209175109863,0.0405470840210422,0.8065612304963069,0.030806897490981533,0.039290125230125185,0.037864581176632724,0.022389847998318117,0.024014991743001476,0.008011305095581931,-0.005219659784577302,0.04002275738196495,0.024668156428361787,0.039090064216471286,0.011485525989203294,0.027430854372783975,0.03691715442922694,0.0004798480120342394,0.012074191433181235,-0.00534755417239472,-0.032254822706276484,0.0426160953938961,-0.4671706563152035,-0.4879824235829611
std,0.02785457472864896,0.09109067916870117,0.15222415328025818,0.1806587278842926,0.32957080006599426,0.1466720998287201,0.28109756112098694,0.1600247174501419,0.2955336570739746,0.45869097113609314,0.18503819406032562,0.20231404900550842,0.1826813817024231,0.31187960505485535,0.20167827606201172,0.3236679136753082,0.1361473649740219,0.29837456345558167,0.4397451877593994,0.2003897726535797,0.0739692747592926,0.07138607650995255,0.020703516830661413,0.11315690951883108,0.19327838832056418,0.1925496441259119,0.40632387297567396,0.14352651500975078,0.265205190914813,0.1647028777359446,0.29647308711717313,0.45720817083070364,0.15792965443252502,0.2232496816143365,0.1868934670218994,0.3189850108503463,0.18683583197128958,0.3313034732999174,0.13246038613029298,0.30992479513329335,0.4642614151345294,0.19349103982245128,0.030354236415058522,0.030950617366435337
min,0.03016079985536635,0.293690949678421,-0.8435670733451843,-0.6114709377288818,-0.8980861902236938,-0.5389118194580078,-0.8385050892829895,-0.9778329133987427,-0.9504520893096924,-0.7789472341537476,-0.9480658173561096,-0.9232474565505981,-0.6141682863235474,-0.8701081275939941,-0.6389496326446533,-0.8037475943565369,-0.9827243089675903,-0.9309656023979187,-0.9010416269302368,-0.9140322804450989,-0.5943143367767334,-0.5950769186019897,0.02421730011701584,0.3107519745826721,-0.8272952437400818,-0.553017258644104,-0.9569509625434875,-0.3529823124408722,-0.9487065672874451,-0.9998654723167419,-0.9871339201927185,-0.9453721642494202,-0.9038102030754089,-0.9709055423736572,-0.5563318729400635,-0.8975878953933716,-0.5985548496246338,-0.8734116554260254,-0.9990073442459106,-0.9762513637542725,-0.997916579246521,-0.8851714134216309,-0.5735321044921875,-0.5877507925033569
25%,0.035625499906018376,0.812253475189209,-0.07873837649822235,-0.09174603223800659,-0.27437788248062134,-0.10937410593032837,-0.11407837271690369,0.025986699387431145,0.0659308210015297,-0.6670440435409546,0.043094437569379807,-0.10030858963727951,-0.10876423120498657,-0.1359214186668396,-0.1235027015209198,-0.21669459342956543,0.021054120734333992,0.08660473674535751,-0.735840916633606,0.04134150594472885,-0.5129249095916748,-0.5207011699676514,0.029370149946771562,0.7519439160823822,-0.013911031186580658,-0.049038469791412354,-0.4023062288761139,-0.08297933638095856,-0.11926202476024628,0.035930292680859566,0.09512168541550636,-0.6429000198841095,0.050393322482705116,-0.02719908207654953,-0.07263089716434479,-0.11987663805484772,-0.09326548874378204,-0.24284633994102478,0.029798686504364014,0.10547523200511932,-0.7089298069477081,0.056152720004320145,-0.4798617959022522,-0.50101038813591
50%,0.04104489996097982,0.8719086647033691,0.02035589888691902,7.31348991394043e-05,0.011693835258483887,-0.0031403005123138428,0.18111398816108704,0.03736734390258789,0.08871535956859589,0.29355674982070923,0.08128228038549423,0.04326583445072174,-0.013088017702102661,0.1001330018043518,0.0023255646228790283,0.22538979351520538,0.02782057411968708,0.11061269789934158,0.20393788814544678,0.10664036124944687,-0.4577009677886963,-0.467043936252594,0.03442939999513328,0.8255952000617981,0.11670945584774017,0.05198824405670166,0.004053235054016113,0.03257107734680176,0.20836131274700165,0.039346665143966675,0.09802128374576569,0.3341900408267975,0.09376998245716095,0.16176800429821014,0.02890169620513916,0.1427624523639679,0.036361098289489746,0.17283838987350464,0.03258319944143295,0.11005011945962906,0.2737339735031128,0.11501283943653107,-0.47400951385498047,-0.49415749311447144
75%,0.05161030008457601,0.916349470615387,0.04797279089689255,0.10456728935241699,0.21649755537509918,0.10683819651603699,0.23114129900932312,0.05185273289680481,0.1018911600112915,0.318327933549881,0.10673777759075165,0.08572079986333847,0.06982654333114624,0.21726667881011963,0.15593577921390533,0.28074729442596436,0.03200358524918556,0.13503383100032806,0.2293371558189392,0.13625898957252502,-0.4025372266769409,-0.41064220666885376,0.04339600005187094,0.8847244083881378,0.15814347565174103,0.14840343594551086,0.46559856832027435,0.13873012363910675,0.21328376233577728,0.04085724428296089,0.09909587353467941,0.345075398683548,0.09515123814344406,0.19170580804347992,0.12264327704906464,0.28209860622882843,0.2001771181821823,0.27122901380062103,0.0342611875385046,0.11070169135928154,0.28655552864074707,0.1171761155128479,-0.4647707939147949,-0.484456866979599
max,0.3302728000562638,1.0000001192092896,0.31964176893234253,0.5296148061752319,0.8033075928688049,0.4211880564689636,0.2797018587589264,0.07920876145362854,0.1419377475976944,0.3748721778392792,0.14974083006381989,0.3601886034011841,0.5495267510414124,0.5456833243370056,0.48327717185020447,0.3532748222351074,0.04037077724933624,0.20303523540496826,0.28368857502937317,0.18202565610408783,-0.2126021385192871,-0.22158151865005493,0.22695220005698502,0.9907408356666565,0.21507574617862701,0.5975919961929321,0.6060065031051636,0.36746928095817566,0.22316262125968933,0.04474557563662529,0.10263223201036453,0.42538562417030334,0.10349362343549728,0.2138521671295166,0.6002976894378662,0.3057168424129486,0.4099465310573578,0.2935991585254669,0.03809649869799614,0.11947798728942871,0.3009133040904999,0.5426157712936401,-0.2705422043800354,-0.3013502359390259
