,audio_time,audio_clap_score,audio_patch_similarity.env_1_attack,audio_patch_similarity.env_1_decay,audio_patch_similarity.env_1_sustain,audio_patch_similarity.env_1_release,audio_patch_similarity.env_1_velocity,audio_patch_similarity.env_1_quantize,audio_patch_similarity.env_1_curve,audio_patch_similarity.env_1_release_on,audio_patch_similarity.env_1_key_follow,audio_patch_similarity.env_2_attack,audio_patch_similarity.env_2_decay,audio_patch_similarity.env_2_sustain,audio_patch_similarity.env_2_release,audio_patch_similarity.env_2_velocity,audio_patch_similarity.env_2_quantize,audio_patch_similarity.env_2_curve,audio_patch_similarity.env_2_release_on,audio_patch_similarity.env_2_key_follow,audio_patch_similarity.env_1_model,audio_patch_similarity.env_2_model,text_time,text_clap_score,text_patch_similarity.env_1_attack,text_patch_similarity.env_1_decay,text_patch_similarity.env_1_sustain,text_patch_similarity.env_1_release,text_patch_similarity.env_1_velocity,text_patch_similarity.env_1_quantize,text_patch_similarity.env_1_curve,text_patch_similarity.env_1_release_on,text_patch_similarity.env_1_key_follow,text_patch_similarity.env_2_attack,text_patch_similarity.env_2_decay,text_patch_similarity.env_2_sustain,text_patch_similarity.env_2_release,text_patch_similarity.env_2_velocity,text_patch_similarity.env_2_quantize,text_patch_similarity.env_2_curve,text_patch_similarity.env_2_release_on,text_patch_similarity.env_2_key_follow,text_patch_similarity.env_1_model,text_patch_similarity.env_2_model
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.044601080003485546,0.8709270358085632,0.03693358600139618,0.001756885671056807,-0.07787328958511353,-0.06943420320749283,-0.06035352870821953,-0.0630236566066742,-0.21601398289203644,0.21711571514606476,-0.04887676239013672,0.014928175136446953,-0.013209807686507702,0.1447622925043106,0.012111221440136433,-0.21105694770812988,-0.07509977370500565,0.013413308188319206,0.016464030370116234,-0.058915335685014725,-0.49140506982803345,-0.4946861267089844,0.026628740003798158,0.7709217429161072,0.10844816267490387,0.14558683037757875,-0.0911715030670166,0.022952082753181457,0.06391813158988953,-0.16132411360740662,-0.30190144926309587,0.14111238718032837,0.07262292951345443,0.14719830751419066,0.09056347608566284,0.15243337154388428,0.10958265364170075,-0.24738803803920745,-0.16756595596671103,-0.08939367234706878,-0.11644498109817505,0.08336392343044281,-0.473838746547699,-0.49449925422668456
std,0.04016268678836134,0.09566419571638107,0.06204371899366379,0.20619738101959229,0.34965774416923523,0.1475161761045456,0.28455570340156555,0.3150278925895691,0.4819342792034149,0.3139924705028534,0.3065442144870758,0.17355847358703613,0.2138780802488327,0.1547643095254898,0.10990533232688904,0.33429306745529175,0.316310316324234,0.31380224227905273,0.44015559554100037,0.30474230647087097,0.07294020056724548,0.06589046865701675,0.0018322123284437793,0.08570185708880472,0.10704783182480165,0.16651031849068357,0.43071513997070515,0.07587108861446609,0.25781175237679593,0.44723270014390354,0.5481126517317322,0.45321284663378647,0.04962327425653735,0.100545959923514,0.06998701635273764,0.29681521555600693,0.06332445460437629,0.4051137828319564,0.44751998189544157,0.44683487193774923,0.5474133516133852,0.07190610990117662,0.009968376387217676,0.012855189110126468
min,0.031041099995491095,0.7040913701057434,-0.1029498279094696,-0.4284569025039673,-0.547866940498352,-0.41617006063461304,-0.5788221955299377,-0.9587388038635254,-0.9269934892654419,-0.6756737232208252,-0.8811333179473877,-0.4609500765800476,-0.5474907755851746,-0.2132979929447174,-0.20368662476539612,-0.6850771903991699,-0.9750810861587524,-0.8762680292129517,-0.8468257188796997,-0.8127373456954956,-0.5930900573730469,-0.5818486213684082,0.02498810000543017,0.6637188792228699,-0.0830332487821579,-0.048267662525177,-0.4061317443847656,-0.06177264451980591,-0.3803184926509857,-0.961328387260437,-0.9028602242469788,-0.6693454384803772,-0.01606118679046631,-0.03245270252227783,0.02945166826248169,-0.37849968671798706,0.03576400876045227,-0.7172161340713501,-0.9680953025817871,-0.8887155652046204,-0.7279694676399231,-0.04523646831512451,-0.4865565299987793,-0.5130253434181213
25%,0.03160865000245394,0.8323549032211304,0.016332503408193588,-0.07864593714475632,-0.34334440529346466,-0.11598451435565948,-0.269126083701849,0.024083117954432964,-0.6639993637800217,0.29978838562965393,-0.020079106092453003,0.021599243860691786,-0.08393660187721252,0.09711878560483456,-0.03426998853683472,-0.42358022183179855,0.018316000699996948,0.0924204308539629,0.20172080397605896,-0.12014532089233398,-0.5533863455057144,-0.5502887666225433,0.02506050000374671,0.7046330571174622,0.15510152280330658,0.013914167881011963,-0.4052938222885132,-0.011956930160522461,0.05508516728878021,0.032120231539011,-0.9017908573150635,0.3246043026447296,0.09246592223644257,0.1869823932647705,0.031130075454711914,0.2801641821861267,0.08211785554885864,-0.495785653591156,0.02751626819372177,0.109676294028759,-0.7039833068847656,0.11339811235666275,-0.4761282801628113,-0.49619728326797485
50%,0.03201455000817077,0.8755546510219574,0.03803415969014168,-0.02631625533103943,-0.12789520621299744,-0.042490169405937195,-0.01686185598373413,0.032510632649064064,0.07379080355167389,0.31690751016139984,0.07339661568403244,0.07166680693626404,0.04500594735145569,0.17374476790428162,0.029299557209014893,-0.2107238471508026,0.024111167527735233,0.10521583631634712,0.22409582138061523,0.09077699109911919,-0.479006290435791,-0.48490220308303833,0.026690600003348663,0.7820441126823425,0.15595050156116486,0.13888424634933472,-0.31872129440307617,0.007157027721405029,0.21141836047172546,0.039868589490652084,0.09596844762563705,0.34452342987060547,0.09393966197967529,0.18782469630241394,0.08339491486549377,0.28604769706726074,0.09264618158340454,-0.35184618830680847,0.032726820558309555,0.11015935242176056,0.27083516120910645,0.11474084854125977,-0.4742962718009949,-0.4934062957763672
75%,0.03243302500413847,0.9397707730531693,0.065282859839499,0.09125973284244537,0.1455153301358223,0.03471624106168747,0.18920687213540077,0.04589794669300318,0.09459690004587173,0.3233768492937088,0.1056175846606493,0.0879130195826292,0.1172131896018982,0.2639458477497101,0.056707963347435,-0.013274133205413818,0.03047407604753971,0.12826323509216309,0.23048919066786766,0.1302957534790039,-0.45561447739601135,-0.4496300220489502,0.026913599998806603,0.8424366116523743,0.15595626831054688,0.2923075556755066,0.0866442322731018,0.0396331250667572,0.21608443558216095,0.040651585906744,0.09823751449584961,0.3496531546115875,0.09443915635347366,0.19510744512081146,0.10903888940811157,0.2867775857448578,0.13290420174598694,0.05279405415058136,0.034942418336868286,0.11078756302595139,0.2889134883880615,0.11670326441526413,-0.4735460877418518,-0.4930185079574585
max,0.1588952000020072,0.9911086559295654,0.12293265759944916,0.307250440120697,0.49744582176208496,0.07277132570743561,0.24502365291118622,0.05808909609913826,0.11363339424133301,0.3396444618701935,0.1150156706571579,0.1489916294813156,0.19642376899719238,0.28919917345046997,0.16525623202323914,0.28036415576934814,0.03439703583717346,0.15979377925395966,0.2471999078989029,0.15957432985305786,-0.35371243953704834,-0.3829582929611206,0.029490900007658638,0.8617760539054871,0.15826576948165894,0.3310958445072174,0.5876451134681702,0.14169983565807343,0.21732118725776672,0.04206741228699684,0.1009378731250763,0.35612648725509644,0.09833109378814697,0.1985297054052353,0.19980183243751526,0.2876770794391632,0.20448102056980133,0.2751137316226959,0.035080015659332275,0.11112399399280548,0.2899792194366455,0.11721386015415192,-0.4586665630340576,-0.476848840713501
