,env_1_attack,env_1_decay,env_1_sustain,env_1_release,env_1_velocity,env_1_model_ads,env_1_model_analogue,env_1_model_digital,env_1_quantize,env_1_curve,env_1_release_on,env_1_key_follow,env_2_attack,env_2_decay,env_2_sustain,env_2_release,env_2_velocity,env_2_model_ads,env_2_model_analogue,env_2_model_digital,env_2_quantize,env_2_curve,env_2_release_on,env_2_key_follow
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.028833333333333336,0.38933333333333325,0.2315,0.33733333333333326,0.3061666666666667,0.26666666666666666,0.5333333333333333,0.2,0.03333333333333333,0.2,0.3,0.2816666666666666,0.08933333333333332,0.3281666666666666,0.12833333333333333,0.39633333333333326,0.436,0.26666666666666666,0.6333333333333333,0.1,0.0,0.13333333333333333,0.2,0.2353333333333333
std,0.04711840063245906,0.09470947712595221,0.37795536591069806,0.16107255450911542,0.3252364745347854,0.4497764451088036,0.507416263404925,0.4068381021724863,0.18257418583505533,0.4068381021724863,0.46609159969939895,0.3258419686070951,0.15176395767959766,0.15712110052403863,0.2690735488907145,0.16566445799771942,0.369795843023203,0.4497764451088036,0.49013251785356093,0.30512857662936466,0.0,0.34574590364176044,0.4068381021724863,0.26292431496972446
min,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.31225,0.0,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.01,0.3675,0.0,0.38,0.1825,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.015,0.31,0.0,0.435,0.39,0.0,1.0,0.0,0.0,0.0,0.0,0.16
75%,0.015,0.4275,0.33,0.4475,0.5675,0.75,1.0,0.0,0.0,0.0,1.0,0.5225,0.08875,0.40499999999999997,0.037500000000000006,0.5,0.7375,0.75,1.0,0.0,0.0,0.0,0.0,0.385
max,0.15,0.61,1.0,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.6,0.67,1.0,0.69,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
