,env_1_attack,env_1_decay,env_1_sustain,env_1_release,env_1_velocity,env_1_model_ads,env_1_model_analogue,env_1_model_digital,env_1_quantize,env_1_curve,env_1_release_on,env_1_key_follow,env_2_attack,env_2_decay,env_2_sustain,env_2_release,env_2_velocity,env_2_model_ads,env_2_model_analogue,env_2_model_digital,env_2_quantize,env_2_curve,env_2_release_on,env_2_key_follow
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.08942333333333335,0.40221666666666667,0.5393966666666667,0.2598533333333334,0.17173999999999998,0.16666666666666666,0.26666666666666666,0.5666666666666667,0.0,0.1,0.6,0.07328000000000001,0.09931333333333332,0.36077,0.12670666666666666,0.20171666666666668,0.47224999999999995,0.16666666666666666,0.2,0.6333333333333333,0.0,0.23333333333333334,0.7666666666666667,0.2120733333333333
std,0.18301815000126367,0.16520004400795385,0.26922464211052494,0.11860722119474948,0.21638934513893052,0.3790490217894517,0.4497764451088035,0.5040069329937308,0.0,0.3051285766293646,0.4982728791224399,0.12254627669184602,0.21930821915401577,0.21724402955964142,0.21065833742445791,0.1627115876240117,0.4144329834347414,0.3790490217894517,0.4068381021724863,0.4901325178535609,0.0,0.4301830671520762,0.43018306715207616,0.2538105197859674
min,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.325,0.335,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25125,0.0,0.0912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50%,0.0075,0.38,0.5471,0.22,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.355,0.0,0.175,0.49,0.0,0.0,1.0,0.0,0.0,1.0,0.18
75%,0.08,0.48625,0.6354500000000001,0.26,0.39,0.0,0.75,1.0,0.0,0.0,1.0,0.098825,0.045,0.4175,0.1725,0.2375,0.8975,0.0,0.0,1.0,0.0,0.0,1.0,0.27
max,0.6607,0.9771,1.0,0.5329,0.66,1.0,1.0,1.0,0.0,1.0,1.0,0.325,0.8641,0.9639,0.8,0.6409,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
