,env_1_attack,env_1_decay,env_1_sustain,env_1_release,env_1_velocity,env_1_model_ads,env_1_model_analogue,env_1_model_digital,env_1_quantize,env_1_curve,env_1_release_on,env_1_key_follow,env_2_attack,env_2_decay,env_2_sustain,env_2_release,env_2_velocity,env_2_model_ads,env_2_model_analogue,env_2_model_digital,env_2_quantize,env_2_curve,env_2_release_on,env_2_key_follow
count,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0
mean,0.1217085226559558,0.430836349943517,0.5194318062005775,0.32365647044056733,0.18831663110330113,0.3063888540228442,0.5210242249278273,0.1725869210493285,0.030249780343918665,0.08698380820886155,0.3141709551901594,0.08342443830802057,0.14376956194301493,0.4375783732898205,0.2539523534580143,0.3816363122881888,0.248243579766537,0.31919166562068535,0.5033262206602234,0.17748211371909126,0.023973892305761264,0.1027990460650182,0.2548010543491904,0.10373464290197063
std,0.18196274065618415,0.19770294348605436,0.40104311371852674,0.1565639219296914,0.28205968293683403,0.46102212731520914,0.49958914105239965,0.3779134848125388,0.17128459832992118,0.2818290171224355,0.4642139749151694,0.19813361651028547,0.22498343531202242,0.2008053582353402,0.3313369037706675,0.21292325885348945,0.33012820636815565,0.466192691598681,0.5000203178337816,0.3821001683977449,0.15297739104331623,0.3037152948494489,0.43577667794327224,0.2031748331902843
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.31,0.06425,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.02,0.425,0.53,0.31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.42,0.07,0.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75%,0.17,0.5,1.0,0.45,0.35,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.215,0.51,0.41379999999999995,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.1423
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
