,env_1_attack,env_1_decay,env_1_sustain,env_1_release,env_1_velocity,env_1_model_ads,env_1_model_analogue,env_1_model_digital,env_1_trigger,env_1_quantize,env_1_curve,env_1_release_on,env_1_key_follow,env_2_attack,env_2_decay,env_2_sustain,env_2_release,env_2_velocity,env_2_model_ads,env_2_model_analogue,env_2_model_digital,env_2_trigger,env_2_quantize,env_2_curve,env_2_release_on,env_2_key_follow
count,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0,7967.0
mean,12.17085226559556,43.08363499435167,51.94067026484242,32.365647044056715,18.831663110330105,0.0,0.5210242249278273,0.345173842098657,0.0046441571482364755,0.030249780343918665,0.08698380820886155,0.3141709551901594,8.342443830802061,14.376956194301497,43.757837328982106,25.392724990586146,38.16363122881888,24.824357976653744,0.0,0.5033262206602234,0.3549642274381825,0.005271745952052215,0.023973892305761264,0.1027990460650182,0.2548010543491904,10.373464290197045
std,18.196274065617782,19.770294348605148,40.10756298648226,15.656392192969475,28.20596829368524,0.0,0.49958914105239965,0.7558269696250776,0.10559787947600327,0.17128459832992118,0.2818290171224355,0.4642139749151694,19.813361651027858,22.49834353120161,20.080535823534223,33.135614523188266,21.292325885349182,33.012820636817125,0.0,0.5000203178337816,0.7642003367954898,0.12763840516967395,0.15297739104331623,0.3037152948494489,0.43577667794327224,20.317483319027374
min,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,31.0,6.29,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,2.0,42.5,53.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,7.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,17.0,50.0,100.0,45.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.5,51.0,41.379999999999995,50.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.23
max,100.0,100.0,100.0,100.0,100.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,100.0
