,time,text_clap_score,patch_similarity.env_1_attack,patch_similarity.env_1_decay,patch_similarity.env_1_sustain,patch_similarity.env_1_release,patch_similarity.env_1_velocity,patch_similarity.env_1_quantize,patch_similarity.env_1_curve,patch_similarity.env_1_release_on,patch_similarity.env_1_key_follow,patch_similarity.env_2_attack,patch_similarity.env_2_decay,patch_similarity.env_2_sustain,patch_similarity.env_2_release,patch_similarity.env_2_velocity,patch_similarity.env_2_quantize,patch_similarity.env_2_curve,patch_similarity.env_2_release_on,patch_similarity.env_2_key_follow,patch_similarity.env_1_model,patch_similarity.env_2_model
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
mean,0.0030694666396205625,0.8230916857719421,0.07051002979278564,-0.030675897374749184,-0.0993739664554596,-0.03597281873226166,0.16362617909908295,0.07373522967100143,-0.16424460709095,0.2801966965198517,-0.13123229146003723,-0.26011109352111816,-0.24636435508728027,-0.05582978203892708,0.03609422221779823,0.06004898622632027,0.060350727289915085,0.09213050454854965,0.17223656177520752,-0.033827152103185654,-0.3900493085384369,-0.34111905097961426
std,0.003738670129553987,0.04827805235981941,0.01814260147511959,0.13726016879081726,0.38815197348594666,0.10885503888130188,0.02455664984881878,0.018215777352452278,0.5267958641052246,0.10878825932741165,0.5087412595748901,0.06327632069587708,0.22765076160430908,0.26557090878486633,0.14229120314121246,0.5596007108688354,0.024600807577371597,0.028443312272429466,0.0681830644607544,0.3389361798763275,0.09975846111774445,0.019902972504496574
min,0.0008229999803006649,0.7872965335845947,0.050751231610774994,-0.17520883679389954,-0.5469106435775757,-0.16150754690170288,0.13967463374137878,0.05270310491323471,-0.7706486582756042,0.16657689213752747,-0.7157543897628784,-0.30849623680114746,-0.38302767276763916,-0.3623974323272705,-0.10314169526100159,-0.5835724472999573,0.044118013232946396,0.06095990911126137,0.09695533663034439,-0.42057371139526367,-0.4983605742454529,-0.3555943965911865
25%,0.0009115499560721219,0.7956374883651733,0.06255593150854111,-0.09497395157814026,-0.22180727124214172,-0.07010390609502792,0.1510661467909813,0.06836329773068428,-0.33657899498939514,0.22859269380569458,-0.30270079523324966,-0.2959141880273819,-0.37776343524456024,-0.1356385126709938,-0.036486461758613586,-0.1256885826587677,0.046198319643735886,0.0798568557947874,0.14343521371483803,-0.15648522228002548,-0.43410685658454895,-0.35246729850769043
50%,0.0010000999318435788,0.803978443145752,0.07436063140630722,-0.014739066362380981,0.10329613089561462,0.021299734711647034,0.1624576598405838,0.08402349054813385,0.09749066829681396,0.2906084954738617,0.11035280674695969,-0.28333213925361633,-0.3724991977214813,0.0911203995347023,0.030168771743774414,0.3321952819824219,0.048278626054525375,0.09875380247831345,0.18991509079933167,0.10760325938463211,-0.369853138923645,-0.34934020042419434
75%,0.004192699969280511,0.8409892618656158,0.08038942888379097,0.04159057140350342,0.12439437210559845,0.026794545352458954,0.17560193687677383,0.0842512883245945,0.1389574036002159,0.3370066285133362,0.16102876141667366,-0.23591852188110352,-0.17803269624710083,0.09745403751730919,0.10571218281984329,0.3818597048521042,0.06846708618104458,0.10771580412983894,0.2098771631717682,0.1595461331307888,-0.3358936309814453,-0.33388134837150574
max,0.0073853000067174435,0.8780000805854797,0.08641822636127472,0.09792020916938782,0.14549261331558228,0.032289355993270874,0.18874621391296387,0.08447908610105515,0.18042413890361786,0.38340476155281067,0.21170471608638763,-0.1885049045085907,0.016433805227279663,0.10378767549991608,0.18125559389591217,0.4315241277217865,0.08865554630756378,0.11667780578136444,0.2298392355442047,0.2114890068769455,-0.3019341230392456,-0.31842249631881714
