,time,text_clap_score,patch_similarity.env_1_attack,patch_similarity.env_1_decay,patch_similarity.env_1_sustain,patch_similarity.env_1_release,patch_similarity.env_1_velocity,patch_similarity.env_1_quantize,patch_similarity.env_1_curve,patch_similarity.env_1_release_on,patch_similarity.env_1_key_follow,patch_similarity.env_2_attack,patch_similarity.env_2_decay,patch_similarity.env_2_sustain,patch_similarity.env_2_release,patch_similarity.env_2_velocity,patch_similarity.env_2_quantize,patch_similarity.env_2_curve,patch_similarity.env_2_release_on,patch_similarity.env_2_key_follow,patch_similarity.env_1_model,patch_similarity.env_2_model
count,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0
mean,0.0006215195733892592,0.8667810559272766,0.004992431960999966,0.008266445249319077,-0.0063730464316904545,-0.001503701671026647,0.009912107139825821,-0.007982656359672546,-0.037624966353178024,-0.01014313381165266,0.0037743181455880404,0.004926811903715134,-0.005381791386753321,-0.0050651864148676395,0.011951122432947159,0.02894868701696396,-0.006477759685367346,-0.02785319648683071,-0.016981961205601692,0.012561717070639133,-0.11368634551763535,-0.11853601783514023
std,0.00021008108420113964,0.08867836743593216,0.12404539436101913,0.1685761958360672,0.29958346486091614,0.134176567196846,0.25976264476776123,0.18123795092105865,0.2948352098464966,0.43429332971572876,0.17749325931072235,0.18546375632286072,0.17478109896183014,0.2778865098953247,0.18840542435646057,0.3005116879940033,0.1481865793466568,0.293607622385025,0.4192679524421692,0.19688104093074799,0.17777006328105927,0.18479084968566895
min,0.0005139999557286501,0.42846500873565674,-0.7922488451004028,-0.6820821762084961,-0.9981857538223267,-0.6535145044326782,-0.9804428815841675,-1.0,-0.9999994039535522,-0.9999530911445618,-0.9763066172599792,-0.9867240190505981,-0.5788799524307251,-0.9662361145019531,-0.6594067811965942,-0.9248679280281067,-1.0,-0.9999992251396179,-0.9999992847442627,-0.9520847797393799,-0.8355103731155396,-0.8571223020553589
25%,0.0005515000084415078,0.8237972259521484,-0.034706294536590576,-0.07456034421920776,-0.1833246946334839,-0.08711382746696472,-0.0633540078997612,1.1097171892515689e-07,1.087794089471572e-06,-0.0013256072998046875,0.0007459308835677803,-0.05341587960720062,-0.08915495872497559,-0.12001991271972656,-0.09880444407463074,-0.09979918599128723,6.023837784141506e-08,3.976349034928717e-06,-0.00031447410583496094,0.00013466158998198807,-0.15193325281143188,-0.16672921180725098
50%,0.000587899936363101,0.8857171535491943,0.023579061031341553,0.010192692279815674,2.8481004846980795e-05,-0.00012968480587005615,0.03557490557432175,1.1619868928391952e-05,0.00017827044939622283,0.001588195562362671,0.02086101844906807,0.030949989333748817,-0.000644296407699585,0.03248707205057144,0.014356523752212524,0.04163713380694389,9.354343092127237e-06,0.0003553381538949907,0.002417593728750944,0.028952986001968384,-0.01751387119293213,-0.019441187381744385
75%,0.0006603000219911337,0.9287962317466736,0.06801944971084595,0.09410250186920166,0.1425565481185913,0.07954658567905426,0.14947551488876343,0.0006857722764834762,0.006144090089946985,0.09395924210548401,0.07310852408409119,0.09153615683317184,0.08993673324584961,0.15722759068012238,0.1328296959400177,0.21108394861221313,0.0004492826701607555,0.01129535585641861,0.0742245689034462,0.1054600328207016,-0.0006274580955505371,-0.0004950761795043945
max,0.005640999996103346,1.0000001192092896,0.4986611604690552,0.601275622844696,0.9687983393669128,0.48498889803886414,0.7320150136947632,0.9665430784225464,0.9996869564056396,0.9999337196350098,0.498440146446228,0.681896984577179,0.5501499176025391,0.8078911304473877,0.5664625763893127,0.9116215109825134,0.9997661709785461,0.9848854541778564,0.9999938011169434,0.5875644087791443,0.0,0.0
