,time,text_clap_score,patch_similarity.env_1_attack,patch_similarity.env_1_decay,patch_similarity.env_1_sustain,patch_similarity.env_1_release,patch_similarity.env_1_velocity,patch_similarity.env_1_quantize,patch_similarity.env_1_curve,patch_similarity.env_1_release_on,patch_similarity.env_1_key_follow,patch_similarity.env_2_attack,patch_similarity.env_2_decay,patch_similarity.env_2_sustain,patch_similarity.env_2_release,patch_similarity.env_2_velocity,patch_similarity.env_2_quantize,patch_similarity.env_2_curve,patch_similarity.env_2_release_on,patch_similarity.env_2_key_follow,patch_similarity.env_1_model,patch_similarity.env_2_model
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
mean,0.03305029997136444,0.7319732308387756,0.2674982249736786,0.01733679510653019,0.16940659284591675,0.1585826873779297,0.37583017349243164,0.3610231578350067,0.07987233996391296,0.43700340390205383,0.10157569497823715,-0.02276601456105709,-0.07806810736656189,0.1737550050020218,0.08758628368377686,0.13086088001728058,0.2611912190914154,0.39308586716651917,0.4581010341644287,0.18673337996006012,-0.4755740463733673,-0.48494938015937805
std,0.05604137017627514,0.1448085606098175,0.06541269272565842,0.12848028540611267,0.3766835331916809,0.09306623041629791,0.06444355100393295,0.036236170679330826,0.5454245805740356,0.0644880011677742,0.5307229161262512,0.06420156359672546,0.16446396708488464,0.31828486919403076,0.1414399892091751,0.5930345058441162,0.04999792203307152,0.015283804386854172,0.017870338633656502,0.3262551724910736,0.03819786757230759,0.0564652755856514
min,0.0006888998905196786,0.6223854422569275,0.2275637984275818,-0.1139724850654602,-0.2650313079357147,0.057086169719696045,0.30530038475990295,0.33749330043792725,-0.549202561378479,0.3646218180656433,-0.510277271270752,-0.060376107692718506,-0.1953829824924469,-0.1937626302242279,-0.0630534291267395,-0.5525861978530884,0.22803503274917603,0.3765143156051636,0.4416879713535309,-0.18879979848861694,-0.5190739631652832,-0.5444484949111938
25%,0.0006947999936528504,0.6498899161815643,0.22975336760282516,-0.045388638973236084,0.05160108208656311,0.11791832000017166,0.3479248136281967,0.3401588648557663,-0.09049734473228455,0.4113353490829468,-0.06633546948432922,-0.059831470251083374,-0.172061949968338,0.08096152544021606,0.022604063153266907,-0.0584736168384552,0.23243701457977295,0.3863146901130676,0.44858235120773315,0.07987350225448608,-0.48960718512535095,-0.5113699436187744
50%,0.0007007000967860222,0.6773943901062012,0.23194293677806854,0.023195207118988037,0.36823347210884094,0.17875047028064728,0.3905492424964905,0.34282442927360535,0.3682078421115875,0.45804888010025024,0.3776063323020935,-0.05928683280944824,-0.14874091744422913,0.3556857109069824,0.10826155543327332,0.435638964176178,0.23683899641036987,0.3961150646209717,0.4554767310619354,0.3485468029975891,-0.4601404070854187,-0.478291392326355
75%,0.04923100001178682,0.7867671549320221,0.2874654605984688,0.08299143612384796,0.3866255432367325,0.2093309462070465,0.4110950827598572,0.37278807163238525,0.39440979063510895,0.4731942117214203,0.4075021892786026,-0.003960967063903809,-0.019410669803619385,0.35751383006572723,0.16290613263845444,0.47258442640304565,0.2777693271636963,0.40137167274951935,0.4663075804710388,0.37449997663497925,-0.45382410287857056,-0.45519983768463135
max,0.09776129992678761,0.896139919757843,0.342987984418869,0.14278766512870789,0.405017614364624,0.23991142213344574,0.4316409230232239,0.40275171399116516,0.42061173915863037,0.48833954334259033,0.4373980462551117,0.051364898681640625,0.10991957783699036,0.35934194922447205,0.21755070984363556,0.5095298886299133,0.3186996579170227,0.406628280878067,0.4771384298801422,0.4004531502723694,-0.4475077986717224,-0.4321082830429077
